
ACCX_Angle -176.33	ACCY_Angle 167.44		GRYX_Angle  8.73	GYRY_Angle  8.73	GYRZ_Angle  8.76		CFangleX_Angle -175.90	CFangleY_Angle 168.28		HEADING  10.96 tiltCompensatedHeading  5.11
ACCX_Angle -176.90	ACCY_Angle 167.21		GRYX_Angle  8.95	GYRY_Angle  8.95	GYRZ_Angle  8.98		CFangleX_Angle -175.92	CFangleY_Angle 168.24		HEADING  11.06 tiltCompensatedHeading  8.04
ACCX_Angle -176.88	ACCY_Angle 167.35		GRYX_Angle  9.20	GYRY_Angle  9.20	GYRZ_Angle  9.23		CFangleX_Angle -175.91	CFangleY_Angle 168.27		HEADING  11.06 tiltCompensatedHeading  7.86
ACCX_Angle -177.12	ACCY_Angle 168.26		GRYX_Angle  9.44	GYRY_Angle  9.44	GYRZ_Angle  9.47		CFangleX_Angle -175.97	CFangleY_Angle 168.45		HEADING  10.91 tiltCompensatedHeading  8.08
ACCX_Angle -177.04	ACCY_Angle 167.58		GRYX_Angle  9.67	GYRY_Angle  9.67	GYRZ_Angle  9.69		CFangleX_Angle -176.00	CFangleY_Angle 168.46		HEADING  10.91 tiltCompensatedHeading  8.08
ACCX_Angle -177.57	ACCY_Angle 167.21		GRYX_Angle  9.90	GYRY_Angle  9.90	GYRZ_Angle  9.93		CFangleX_Angle -176.12	CFangleY_Angle 168.40		HEADING  10.89 tiltCompensatedHeading 10.68
ACCX_Angle -176.99	ACCY_Angle 167.46		GRYX_Angle 10.11	GYRY_Angle 10.11	GYRZ_Angle 10.14		CFangleX_Angle -176.13	CFangleY_Angle 168.38		HEADING  10.89 tiltCompensatedHeading  7.90
ACCX_Angle -177.15	ACCY_Angle 167.45		GRYX_Angle 10.34	GYRY_Angle 10.34	GYRZ_Angle 10.37		CFangleX_Angle -176.15	CFangleY_Angle 168.38		HEADING  10.87 tiltCompensatedHeading  8.55
ACCX_Angle -176.81	ACCY_Angle 167.51		GRYX_Angle 10.57	GYRY_Angle 10.57	GYRZ_Angle 10.59		CFangleX_Angle -176.10	CFangleY_Angle 168.38		HEADING  10.87 tiltCompensatedHeading  7.00
ACCX_Angle -176.90	ACCY_Angle 167.47		GRYX_Angle 10.79	GYRY_Angle 10.79	GYRZ_Angle 10.81		CFangleX_Angle -176.08	CFangleY_Angle 168.38		HEADING  11.09 tiltCompensatedHeading  7.91
ACCX_Angle -176.78	ACCY_Angle 167.13		GRYX_Angle 11.01	GYRY_Angle 10.99	GYRZ_Angle 11.02		CFangleX_Angle -176.04	CFangleY_Angle 168.29		HEADING  11.09 tiltCompensatedHeading  7.56
ACCX_Angle -176.35	ACCY_Angle 167.62		GRYX_Angle 11.22	GYRY_Angle 11.20	GYRZ_Angle 11.23		CFangleX_Angle -175.94	CFangleY_Angle 168.32		HEADING  10.70 tiltCompensatedHeading  4.76
ACCX_Angle -177.02	ACCY_Angle 167.56		GRYX_Angle 11.43	GYRY_Angle 11.41	GYRZ_Angle 11.48		CFangleX_Angle -175.99	CFangleY_Angle 168.33		HEADING  10.70 tiltCompensatedHeading  7.67
ACCX_Angle -176.91	ACCY_Angle 167.71		GRYX_Angle 11.68	GYRY_Angle 11.66	GYRZ_Angle 11.73		CFangleX_Angle -175.98	CFangleY_Angle 168.41		HEADING  10.88 tiltCompensatedHeading  7.50
ACCX_Angle -177.00	ACCY_Angle 167.27		GRYX_Angle 11.92	GYRY_Angle 11.90	GYRZ_Angle 11.97		CFangleX_Angle -175.98	CFangleY_Angle 168.38		HEADING  10.88 tiltCompensatedHeading  8.10
ACCX_Angle -176.73	ACCY_Angle 167.45		GRYX_Angle 12.16	GYRY_Angle 12.14	GYRZ_Angle 12.21		CFangleX_Angle -175.94	CFangleY_Angle 168.38		HEADING  10.91 tiltCompensatedHeading  6.83
